,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,40,CL,1561675350,74,-53.16,-70.91,28.4,13.87
1,Dikson,84,RU,1561675351,96,73.51,80.55,33.8,4.74
2,Mahebourg,20,MU,1561675353,78,-20.41,57.7,73.4,11.41
3,Kloulklubed,75,PW,1561675354,78,7.04,134.26,82.4,11.41
4,Rikitea,100,PF,1561675355,82,-23.12,-134.97,75.33,17.16
5,Hilo,90,US,1561675356,74,19.71,-155.08,82.99,6.93
6,Mandalgovi,100,MN,1561675357,79,45.76,106.27,49.91,20.11
7,Lebu,40,ET,1561675126,93,8.96,38.73,57.2,0.94
8,Nador,75,MA,1561675357,78,35.17,-2.93,73.4,8.05
9,Qaanaaq,21,GL,1561675361,52,77.48,-69.36,43.11,4.12
10,Barrow,100,AR,1561675362,58,-38.31,-60.23,48.94,17.69
11,Bethel,40,US,1561675363,60,60.79,-161.76,71.6,3.36
12,Namibe,99,AO,1561675364,80,-15.19,12.15,64.19,13.29
13,Kapaa,75,US,1561675098,70,22.08,-159.32,84.2,20.8
14,Petropavlovsk-Kamchatskiy,100,RU,1561675366,81,53.05,158.65,51.8,4.47
15,Ancud,0,CL,1561675368,64,-41.87,-73.83,37.4,8.05
16,Wakkanai,100,JP,1561675146,74,45.41,141.67,52.67,22.48
17,Tuktoyaktuk,40,CA,1561675370,81,69.44,-133.03,44.6,10.29
18,Mataura,4,NZ,1561675371,88,-46.19,168.86,45.0,4.0
19,San Ignacio,57,PE,1561675372,95,-5.15,-79.0,63.18,2.42
20,Cape Town,75,ZA,1561675201,93,-33.93,18.42,57.99,18.34
21,Busselton,10,AU,1561675375,98,-33.64,115.35,39.99,21.18
22,Baoro,100,CF,1561675376,96,5.69,15.95,67.5,2.35
23,Airai,0,TL,1561675305,58,-8.93,125.41,72.67,3.04
24,Khatanga,67,RU,1561675378,63,71.98,102.47,61.47,4.59
25,Bluff,47,AU,1561675379,66,-23.58,149.07,66.33,22.91
26,Aksarka,94,RU,1561675380,58,66.56,67.8,51.26,11.54
27,Sao Filipe,0,CV,1561675381,86,14.9,-24.5,73.84,21.85
28,Kavieng,100,PG,1561675383,76,-2.57,150.8,84.06,14.61
29,Touros,75,BR,1561675384,94,-5.2,-35.46,77.0,4.7
30,Rongcheng,71,CN,1561675385,32,37.16,122.42,75.0,4.0
31,Wiwili,40,NI,1561675386,69,13.63,-85.83,77.0,13.87
32,Vaini,100,IN,1561675143,91,15.34,74.49,77.29,6.04
33,East London,0,ZA,1561675389,25,-33.02,27.91,63.23,7.18
34,Carnarvon,0,ZA,1561675390,28,-30.97,22.13,46.31,14.85
35,Ponta do Sol,9,BR,1561675391,64,-20.63,-46.0,66.37,7.49
36,Lindi,1,TZ,1561675392,86,-10.0,39.71,64.42,4.09
37,Macau,23,BR,1561675393,81,-5.11,-36.64,75.33,20.13
38,Tasiilaq,100,GL,1561675394,93,65.61,-37.64,44.6,5.82
39,Port Blair,100,IN,1561675160,79,11.67,92.75,84.06,23.78
40,Meulaboh,15,ID,1561675397,78,4.14,96.13,80.84,7.9
41,New Norfolk,75,AU,1561675398,66,-42.78,147.06,57.0,10.29
42,Mayo,90,CA,1561675399,22,63.59,-135.9,75.2,5.82
43,Norman Wells,75,CA,1561675400,26,65.28,-126.83,71.6,8.05
44,Wanaka,18,NZ,1561675401,73,-44.7,169.14,37.12,4.79
45,Lander,1,US,1561675403,15,42.83,-108.73,91.0,16.11
46,Harper,1,US,1561675404,42,30.3,-99.24,89.6,11.41
47,Okhotsk,5,RU,1561675241,37,59.36,143.24,71.15,19.08
48,Sweetwater,1,US,1561675406,40,32.47,-100.41,91.99,10.29
49,Leningradskiy,91,RU,1561675407,91,69.38,178.42,37.75,6.4
50,Hasaki,75,JP,1561675408,100,35.73,140.83,77.0,3.36
51,Castro,0,CL,1561675133,83,-42.48,-73.76,37.4,8.05
52,Pangody,1,RU,1561675132,72,65.85,74.49,46.98,7.29
53,Praia da Vitoria,75,PT,1561675412,77,38.73,-27.07,64.4,14.07
54,Quatre Cocos,20,MU,1561675413,78,-20.21,57.76,73.4,11.41
55,Kieta,25,PG,1561675168,70,-6.22,155.63,84.13,6.26
56,Kahului,20,US,1561675219,62,20.89,-156.47,86.0,9.17
57,Palmer,0,AU,1561675416,51,-34.85,139.16,62.01,18.34
58,Houma,100,CN,1561675401,87,35.63,111.36,66.37,8.16
59,Slave Lake,75,CA,1561675418,52,55.28,-114.77,69.8,16.11
60,Severo-Kurilsk,100,RU,1561675186,88,50.68,156.12,41.99,9.82
61,Port Alfred,0,ZA,1561675156,32,-33.59,26.89,70.0,5.99
62,Atuona,0,PF,1561675422,74,-9.8,-139.03,80.84,13.35
63,Aklavik,40,CA,1561675423,38,68.22,-135.01,60.8,4.7
64,Paamiut,3,GL,1561675424,89,61.99,-49.67,40.77,12.82
65,Geraldton,40,CA,1561675425,38,49.72,-86.95,77.0,10.29
66,Albany,75,US,1561675250,37,42.65,-73.75,84.0,16.11
67,Torbay,5,CA,1561675428,93,47.66,-52.73,50.0,4.7
68,Yar-Sale,71,RU,1561675224,60,66.83,70.83,50.0,7.7
69,Muros,0,ES,1561675280,82,42.77,-9.06,63.0,2.24
70,Bainbridge,79,US,1561675431,38,30.9,-84.58,91.4,5.91
71,Ushuaia,20,AR,1561675144,92,-54.81,-68.31,28.4,17.22
72,Huarmey,12,PE,1561675329,88,-10.07,-78.15,63.45,17.34
73,Luderitz,0,NA,1561675434,93,-26.65,15.16,50.0,4.7
74,Hermanus,83,ZA,1561675217,84,-34.42,19.24,55.99,11.01
75,Kenai,1,US,1561675437,52,60.55,-151.26,77.0,6.93
76,Half Moon Bay,75,US,1561675301,72,37.46,-122.43,73.99,13.87
77,Belousovka,83,KZ,1561675439,93,50.13,82.52,57.2,6.71
78,Mecca,38,SA,1561675440,42,21.43,39.83,86.42,5.12
79,Avarua,98,CK,1561675441,73,-21.21,-159.78,75.2,6.93
80,Craig,1,US,1561675443,18,40.52,-107.55,82.4,18.34
81,Blackfoot,1,US,1561675444,20,43.19,-112.35,82.4,10.29
82,Mar del Plata,2,AR,1561675445,48,-46.43,-67.52,30.8,8.1
83,Kongoussi,54,BF,1561675446,31,13.32,-1.53,92.86,12.53
84,Yarim,100,YE,1561675447,53,14.3,44.38,75.6,2.46
85,Marzuq,53,YE,1561675448,34,14.4,46.47,79.61,4.5
86,Arona,0,IT,1561675450,69,45.76,8.56,88.0,10.29
87,Puerto Ayora,0,EC,1561675451,73,-0.74,-90.35,77.0,19.46
88,Bhavnagar,92,IN,1561675452,73,21.77,72.14,84.74,11.68
89,Tafalla,92,ES,1561675453,18,42.53,-1.67,91.4,3.36
90,Arman,29,RU,1561675454,44,59.7,150.17,64.49,3.49
91,Trelew,98,AR,1561675315,68,-43.25,-65.31,36.76,20.0
92,Ribeira Grande,38,PT,1561675174,73,38.52,-28.7,63.88,12.01
93,Marystown,69,CA,1561675458,78,47.17,-55.16,52.61,4.76
94,Cidreira,0,BR,1561675459,88,-30.17,-50.22,60.55,12.1
95,Bandarbeyla,100,SO,1561675460,58,9.49,50.81,78.97,29.17
96,Hobart,75,AU,1561675246,66,-42.88,147.33,57.0,10.29
97,Zhigansk,95,RU,1561675463,61,66.77,123.37,68.67,13.38
98,Necochea,100,AR,1561675464,77,-38.55,-58.74,48.99,8.99
99,Dolinsk,85,RU,1561675465,82,47.32,142.8,55.4,6.71
100,Porto Nacional,0,BR,1561675466,45,-10.7,-48.41,82.4,3.36
101,Araxa,0,BR,1561675467,46,-19.59,-46.94,73.4,3.36
102,Pisco,90,PE,1561675468,30,-13.71,-76.2,71.6,6.93
103,Palu,100,ID,1561675470,85,-0.9,119.87,77.65,1.99
104,Provideniya,90,RU,1561675471,87,64.42,-173.23,50.0,8.95
105,Jadu,0,LY,1561675472,61,31.95,12.03,75.22,2.48
106,Hillsboro,1,US,1561675281,58,39.16,-89.49,89.01,9.17
107,Kharp,79,RU,1561675474,75,66.82,65.8,47.16,1.41
108,Ostrovnoy,100,RU,1561675475,97,68.05,39.51,39.44,14.58
109,Kangaatsiaq,0,GL,1561675477,80,68.31,-53.46,37.78,22.15
110,Ariquemes,32,BR,1561675478,70,-9.91,-63.03,77.17,0.34
111,Kodiak,1,US,1561675479,59,39.95,-94.76,89.6,17.22
112,Tharad,98,IN,1561675480,73,24.39,71.63,85.68,17.11
113,Cap-aux-Meules,90,CA,1561675481,93,47.38,-61.86,51.8,5.82
114,Saskylakh,100,RU,1561675482,39,71.97,114.09,58.1,7.85
115,Ambilobe,0,MG,1561675484,91,-13.19,49.05,69.89,2.95
116,Thompson,75,CA,1561675326,35,55.74,-97.86,71.6,4.7
117,Haines Junction,83,CA,1561675448,35,60.75,-137.51,66.78,2.51
118,Talnakh,75,RU,1561675232,75,69.49,88.39,46.4,11.18
119,Salalah,75,OM,1561675488,88,17.01,54.1,82.4,10.29
120,Grand Gaube,20,MU,1561675489,78,-20.01,57.66,73.4,11.41
121,Yeppoon,93,AU,1561675490,72,-23.13,150.74,64.4,8.05
122,Balkanabat,48,TM,1561675492,35,39.51,54.36,87.44,13.02
123,Brownfield,40,US,1561675493,30,33.18,-102.27,96.01,17.22
124,Gat,88,SN,1561675494,88,14.69,-16.54,77.0,6.93
125,Raudeberg,73,NO,1561675495,76,61.99,5.14,50.0,5.82
126,Chuy,61,UY,1561675496,70,-33.69,-53.46,51.79,11.25
127,Nikolskoye,90,RU,1561675498,93,59.7,30.79,57.99,11.18
128,Mazeikiai,0,LT,1561675499,65,56.32,22.33,52.15,9.75
